paivamaara,otsikko,tiivistelma,kuva,id
2024-05-29T08:58:51.000Z,"Donald Brashear, 52, lopetti",Donald Brashear lyö hokkari naulaan. ,https://img.ilcdn.fi/-TDyzynH2tYGhEt6pS-kcj2HBmM=/510x318/top/img-s3.ilcdn.fi/095140ca26fd360e4a725eccbaf33cbe194aedd7ba40c87698ec6a5d451769d4.jpg,F051230B33EA4FA08D1F8D7DF086F04A
2024-05-29T09:02:44.000Z,Kuolema armeijassa,"Kun Puolustusvoimien riveissä kuolee ihmisiä, tapauksissa toistuu erityisesti yksi piirre. Asiantuntijan mukaan näin ei tarvitsisi olla, jos tietyt asiat muuttuisivat.",https://img.ilcdn.fi/3G3srpDuhgYX8Px0nNkz3Xv9VPQ=/0x124:3000x2000/510x318/top/img-s3.ilcdn.fi/f1f747edce4c9f6b8e16cac3b421eee5131c561dc017cfb6584a33a3e4e54716.jpg,D2B5CF18D57842ABA2FAFA4C31E44CBC
2024-05-29T09:05:46.000Z,Lukašenka käveli ulos asesopimuksesta,"Sopimuksessa rajoitetaan panssarivaunujen, sotilaslentokoneiden ja muun kaluston määrää Euroopassa.",https://img.ilcdn.fi/mX9nGtocJQnIBPikJ1IZXBO9y3A=/510x318/top/img-s3.ilcdn.fi/e9cba0e4a02d21364af620dd9a71c02b798642909551a8ed575059d89c0f43c1.jpg,76D5C59882104A5197F084C01B2AF792
2024-05-29T09:08:14.000Z,Epäilty teinisurmaaja astelee oikeuden eteen kello 13,18-vuotiasta epäiltyä esitetään vangittavaksi Pirkanmaan käräjäoikeudessa kello 13.,https://img.ilcdn.fi/_ccg-0jbPW4Ph2LUuiNScdYtuaw=/0x64:3000x1939/510x318/top/img-s3.ilcdn.fi/00d554189ab95964f5af6193bb87dcfac78119ef4152899a2c31daf111c6a783.jpg,DB1AC66A99B34D21BF8441026746BCFB
2024-05-29T09:16:26.000Z,Kaikkien miesten ja poikien pitäisi pysähtyä Valkeakosken tragedian äärelle,"Jokaisen miehen kannattaisi pysähtyä ainakin hetkeksi miettimään omaa asennettaan naisia kohtaan, kirjoittaa toimittaja Riku Isokoski.",https://img.ilcdn.fi/phi4i9DqosN8fXNTvanLwca1uec=/0x100:1600x1100/510x318/top/img-s3.ilcdn.fi/d78b69257a3ff9a583ad8c005b3a68b77f5463c485da2e5eb7d78e21bc76281e.jpg,4AA4C75C814C400E999CF4BF1A736A21
2024-05-29T09:23:25.000Z,76-vuotias puhalsi hurjat lukemat,Poliisi pysäytti kuljettajan tiistai-iltana.,https://img.ilcdn.fi/5qFCTEyIiax0SR-JTvD-9gPhg0M=/510x318/top/img-s3.ilcdn.fi/6c443d9c136442ad8968d9ae2dc2c14b2704364ae060ec4af34557d2cd596e72.jpeg,0804C83A5E464871B4C1D33322729A55
2024-05-29T09:36:26.000Z,Stubb sai lahjaksi kellon – Joutui ongelmiin,Presidentti Alexander Stubb sai lahjaksi kellon valtiovierailulla Virossa.,https://img.ilcdn.fi/jjETsmeMCiuA2aPeHMg2daZxr5U=/510x318/top/img-s3.ilcdn.fi/2d6139565536f9dc199389fc5d4d174d7e18d85f58c8f387f1871b3da14426ed.jpg,ECD17704F7CA4C54836BD2F68ED6CC0E
2024-05-29T09:41:53.000Z,"Kokki Arto Rastas, 45, sai sydänkohtauksen","Julkkiskokki Arto Rastas kertoo Instagram-tilillään, että on sairaalassa.",https://img.ilcdn.fi/D6tLlmjB8Vvt9etXufB1q1Pwgyo=/510x318/top/img-s3.ilcdn.fi/389c2cef8b405624f361c11cd16511ebea8a8a139f4b9964d360d15e2a84b73f.jpg,BC820F5B98044DEA94EE75F514A440AA
2024-05-29T09:45:13.000Z,Täällä sataa ja ukkostaa lakkiaispäivänä,Lämmin sää jatkuu. Päättäjäispäivänä voi tulla sadekuuroja ja ukkostaa.,https://img.ilcdn.fi/WByNXWPvhbMoXSIf4TbrBiEZPG4=/510x318/top/img-s3.ilcdn.fi/a392875e45a9789e51862e7089ea5ce03b23813f017ca9f306ba7d064e61294f.jpg,41B8D56C6CA2452FABA87BD955E67103
2024-05-29T09:47:15.000Z,Roope Hintz masensi – Tässä Edmontonin ongelmat ,Dallas nappasi viimeksi henkisen niskalenkin Edmontonista.,https://img.ilcdn.fi/g4MWllnhwA1b1C9utdYHRw6S7ZE=/510x318/top/img-s3.ilcdn.fi/4886afc6472a0cff1f53233e7456729dcf0f345c252b385d6fec4d9a42fd6cb5.jpg,F57DEBFAEF9E41D1BC21585795FB8268
2024-05-29T10:08:01.000Z,Varo autoveroansaa – Pakettiauton muuttaminen retkeilyautoksi voi tulla kalliiksi,Etätyö ruokkii pakubuumia.,https://img.ilcdn.fi/JyWr_OIT5FVi3zApIJcXWVjfu-4=/0x64:3000x1938/510x318/top/img-s3.ilcdn.fi/2909797e20fd32e68fb6296fcafff2b4bddc132c9e2f9a7a657152130989e35b.jpg,BA64C4EB08A84D829FB09493DB49C491
2024-05-29T10:09:16.000Z,Marinin yhtiö antoi 7000 euroa ”marinilaisen” vaalikassaan,Entisen pääministerin ja SDP:n puheenjohtajan Sanna Marinin enemmistöomistama yhtiö on tehnyt vaalirahalahjoituksia.,https://img.ilcdn.fi/MJFLu8YbOzlEVP593vzlgLPVd4s=/510x318/top/img-s3.ilcdn.fi/d774e4dfdd4e60ff997ff769edcb805de9f71a997f9556917622990ec02cce4f.jpg,1C05BCF30FFF4E3FBC0AAD0668AD82F5
2024-05-29T10:19:22.000Z,Pelaaja näytti takapuolta tv-kameralle ja tuomarille – Outo välikohtaus Norjassa,Sivert Nilsen näytti takapuolta.,https://img.ilcdn.fi/1X2ZDcDoGFJLN5YEJgnjXXDxtWM=/510x318/top/img-s3.ilcdn.fi/722ad21d6e990b609b4a084085600806c2cec4df9bac8dac9aff602305d7221c.jpg,2C4AFFF242E54C5C9267A1710E272F11
2024-05-29T10:21:31.000Z,6 vinkkiä hyviin uniin kesäaikana – Asiantuntija: ”Näillä keinoilla uni pysyy laadukkaana”,"Vaikka sanotaan, että kesä on ihmisen parasta aikaa, voi se monelle tarkoittaa myös unettomia öitä.",https://img.ilcdn.fi/5ZaGyCP-7MX4HPYPxhR2qHcu75M=/510x318/top/img-s3.ilcdn.fi/cdcdfbade2968d7ed552162c1a44a83017f75c066d858abb5a62f8150029d110.jpg,0DA1AB8CD1004336AA2D9B58CEA2341B
2024-05-29T10:21:49.000Z,Miljardireformi: Venäläiset joutuvat mukaan sotatalkoisiin,"Venäjä joutuu nostamaan veroja, sillä valtion kassasta joka kolmas rupla menee hyökkäyssotaan Ukrainassa.",https://img.ilcdn.fi/YWlFz-AvxlOMaAiE6IaTShV8yb8=/510x318/top/img-s3.ilcdn.fi/95bc645bbad2515f0213e5be1775584f532e92bc9864e14896e87b11a62ad30a.jpg,E51687A65F1A410881B4B5C22ED0D92F
2024-05-29T10:38:10.000Z,Alkoholilaki palaa eduskunnan käsittelyyn,Alkoholilaki etenee takaisin eduskunnan täysistuntoon.,https://img.ilcdn.fi/nB7eGjLGvwPjmzrmBXFnycehdl4=/510x318/top/img-s3.ilcdn.fi/4435c1af235024a6a8f6d9964412e37b9c86aeda3b8a4a1210f427ef849f956d.jpeg,929B3792C7FC44C395E9560A90F61DCD
2024-05-29T10:38:26.000Z,Sami Uotilalla ja Kerttu Rissasella muutto käynnissä – Molemmat vaikenevat,Sami Uotila ja Kerttu Rissanen ilmoittivat sosiaalisessa mediassa muuttavansa. Molemmat heistä pysyvät vaitonaisina muuton syistä.,https://img.ilcdn.fi/pb3cvxZ3p0p8TuiK1_DoXgnbb_E=/510x318/top/img-s3.ilcdn.fi/1b7c6e1f7cd5ee64f8cfe73d4bb62ba7ff0185247ee06d8fbb2c4822415b3a48.jpg,0B5204547A2946EF83B12FBA1F653444
2024-05-29T10:47:30.000Z,Keskuspankkiiri vääntää rautalankaa: Pankit toimivat ”muiden rahoilla”,Suomen Pankin Marja Nykänen: ”Vakaus ei ole sattumaa eikä edes hyvää tuuria”.,https://img.ilcdn.fi/yYRGLBKSEeICjawlBZyFy9WHDJE=/510x318/top/img-s3.ilcdn.fi/e6661323621a0c1bfc540ce2852c0f77af0cb5c14fef7bf67eade0405a580749.jpg,7226C444BB164290A69805360EFC49D0
