paivamaara,otsikko,tiivistelma,kuva,id
2020-03-18T18:36:03.000Z,Ruotsalaiseläkeläinen luuli soittajaa lääkäriksi – menetti 14 000 euroa koronahuijauksessa,Lääkäriksi tekeytynyt mies huijasi naisen käyttämään pankkitilinsä tunnuslukulaitetta ja vei naisen tililtä 14 000 euroa.,https://img.ilcdn.fi/hQJA-FfROYgLsxaYoN4DW-TscT8=/510x318/top/img-s3.ilcdn.fi/73602f1131437a01fd332aed0cbbc693ab6453145430f26b44ffde76b092ee68.jpg,2139D694F1B44C73BEB772B63D4D7C1A
2020-03-18T18:45:58.000Z,"Suomalaisturistit jumissa sairastuneita kuljettaneella loistoristeilijällä, kukaan ei huoli matkustajia maihin – “Täällä on hautajaistunnelma”","Loistoristeilijä Costa Luminosa yrittää löytää sataman, joka ottaisi matkustajia vastaan. ",https://img.ilcdn.fi/asgu8Xs7LMM6JsO9JMEcORfayek=/510x318/top/img-s3.ilcdn.fi/66af4a66b6b4b4268dcadf5b82dffb3d5a37b06f215b73e94fed88dfa108821b.jpg,4A5097762C6A4095ABE6BCFBC0FCF815
2020-03-18T18:47:30.000Z,"Annimari Korte joutui koronakiellon riepottelemaksi USA:ssa, sai lähtöpassit kämpästään - ”Kaikki ulos samantien”",Pika-aituri Annimari Korten suunnitelmat muuttuivat äkillisesti harjoitusleirillä Floridassa.,https://img.ilcdn.fi/sdAcdDBaqEbe7A2pcZCbgUg0dWw=/510x318/top/img-s3.ilcdn.fi/1b718d78bf53fb26cf98a41ecac65e1ad66f61c523a4bea429c0a88a9581d3af.jpeg,F80FF874A496416FB06A0DDF6755384D
2020-03-18T18:52:11.000Z,"Kalsari-iskät yllättivät etätyöskentelevät opettajat – ”Vois laittaa housut jalkaan, kun viuhahtelette taustalla” ",Kangasalan Pikkolan koulun rehtori kertoo kuulleensa henkilökuntansa toiveen. ,https://img.ilcdn.fi/bMraqcGVICKA8x1HOrCrILvE7Wg=/40x0:2901x1790/510x318/top/img-s3.ilcdn.fi/61c934de4560966a4cff1126aa9774322abf536a49a948c5260c7f2043715e8e.jpg,B8F18DDC366D4A49B61EAE9FC0A50C0A
2020-03-18T19:05:22.000Z,"Ilkka Kanerva, 72, ei pääse flunssan takia eduskuntaan: ”Minulla ei ole varaa sanoa, että ei huolta huomisesta”",Kansanedustaja Ilkka Kanerva (kok) on lääkärin määräyksestä kotonaan.,https://img.ilcdn.fi/8_oqk-uX_eFPN9x_XsY5t9ccX_A=/510x318/top/img-s3.ilcdn.fi/f8f18991b288eca46b93dc128e8e100ff1b1727056197f80cb039d3df229f695.jpg,2F603E7CEC26432284D909553565EB18
2020-03-18T19:07:19.000Z,Iso maanjäristys ravisutti Balin paratiisisaarta – henkilövahingoilta vältyttiin,Voimakas maanjäristys herätti balilaiset aikaisin torstaiaamuna.,https://img.ilcdn.fi/JnNBSqIutY5nrHmmxY1UFcyHcoU=/510x318/top/img-s3.ilcdn.fi/9e8d264cb447b506d3f90f868afa45617ff1cb46e271fa8e3c493658a33092fa.jpg,ED4788D00FCB4869942203F6CFBB19D9
2020-03-18T19:08:30.000Z,Jared Leto kuuli vasta nyt koronasta: ”Mitä täällä tapahtuu?” ,Näyttelijä-muusikko Jared Leto oli 12 päivää täysin eristyksissä muusta maailmasta.,https://img.ilcdn.fi/ZJtTevFbFO0ATkHHMupJG-P8LDA=/510x318/top/img-s3.ilcdn.fi/14305830b3b53628c19d4ca4c6f8686aac859677a060fa93c5a0f7768af86bfe.jpg,8A43B14D43684AEB9B1E2CE27D7FDDE4
2020-03-18T19:33:41.000Z,"Selätä tylsyys! – 15 peliä, joiden kanssa aika kuluu kuin siivillä",Pelit tarjoavat viihdykettä tunneiksi.,https://img.ilcdn.fi/EGTqAaopQOvPwy3KilLFWZO0hv8=/510x318/top/img-s3.ilcdn.fi/70f15955dac79fdf0283b7e685c995c9058a7c6e4884152f032dceae052c13b2.jpg,614579A94A5440D5832A7E41A49EC7AE
2020-03-18T19:34:29.000Z,Näin koronavirus etenee kehossa,Kuume ja yskä ovat koronaviruksen yleisimmät oireet. Sairastumisen ensimmäisenä päivänä olo on heikko ja lihaksia saattaa särkeä.,https://img.ilcdn.fi/VVuCKbBZmJolD2_zbpt-BCMnr-E=/510x318/top/img-s3.ilcdn.fi/e6a52fe13255b378b1aca7be35973d69b4838fe12de43b6b537eeccfa54b6883.jpg,A0FFD862C1FB48EB9DD272F0E5CBEB7B
2020-03-18T19:37:17.000Z,SM-liigakapteenin unelmahäät romukoppaan - sulattelee pettymystä kotikaranteenissa,SM-liigakiekkoilija Alexander Bonsaksenin ja lumilautailijapuoliso Silje Norendalin häät on peruttu koronaviruspandemian takia. ,https://img.ilcdn.fi/VcPrCvyFWemnSIW2JJwSB87GL8o=/510x318/top/img-s3.ilcdn.fi/7506f4323053f17a9f8cfe5649c12943ce097d93aaec6c7f3b19a7d14d1c5a7e.jpg,A2ECFE22CF6C4CD1AA7C5D319CDA6714
2020-03-18T19:43:12.000Z,Ex on the Beach Suomi yllätti osallistujat – miesten suosikki lähetettiin kesken bileiden Karibialta Suomeen,25-vuotias Jasmin joutui lähtemään kotiin. Juttu sisältää juonipaljastuksia.,https://img.ilcdn.fi/OMdwtZ_mD9cmKnHxyfs6lIFJ6yE=/0x277:1080x952/510x318/top/img-s3.ilcdn.fi/d0be751f8c33f27018f2d859d4f0de6df29e3f0443a237966d57d272a53fab10.jpg,28EDC808143C4EBFA0BE942425DA1605
2020-03-18T20:08:20.000Z,Vuoren kokoinen asteroidi ohittaa maapallon,Jättimäinen asteroidi ohittaa maapallon. Lentoa voi seurata hyvillä teleskoopeilla.,https://img.ilcdn.fi/xmnnsLkYCBE7d4pqhTyYnHy0waM=/510x318/top/img-s3.ilcdn.fi/67241bd4980ab58b69466ae0f5b320cb36193d5bbcc141bb462356838198925d.jpg,8DF65493072C4B12A04762909756089B
