paivamaara,otsikko,tiivistelma,kuva,id
2020-12-29T17:32:12.000Z,"Pääministeri Löfven käski kansaa ryhdistäytymään ja noudattamaan koronakuria, jäi itse kiinni joulushoppailusta ilman maskia","Pääministeri kehotti kansalaisia ryhdistäytymään, mutta vieraili itse tukholmalaisessa ostoskeskuksessa.",https://img.ilcdn.fi/qTnyxsFAaIDuWiYaEwvr2quAhhg=/510x318/top/img-s3.ilcdn.fi/3f22e3e07845989f84cbe2350f02f8ddb97e0c5493c794b3091cc296b5cb8758.jpg,71E1B0FCB3B74621854668610BD0DB4A
2020-12-29T17:34:49.000Z,"Mäkiviikko vauhdissa: Geiger voitti, Aalto 23:s",Tiistaina kisattiin Oberstdorfissa. ,https://img.ilcdn.fi/jwe_ewM8VFNdgQgVwOEMTmKpxsU=/510x318/top/img-s3.ilcdn.fi/5eccf74f75e3e253f8d327bec86c155f8081cc9475e809a3776232e130052c46.jpg,9416DF626F4148338B1C2C0E66090327
2020-12-29T17:40:43.000Z,Entinen huippupainija tuomittiin murhasta Ruotsissa – muutti kertomustaan ja vetosi itsepuolustukseen: ”Päälleni hyökättiin”,Entinen huippupainija Krzysztof Pencarski tuomittiin 14 vuodeksi vankilaan murhasta.,https://img.ilcdn.fi/gDc96FigMMhjCXE6khBrzDTHobY=/510x318/top/img-s3.ilcdn.fi/ed071eda3e64b822b5189549924f44ff26162d5e1e702f7c075141d8658b2b91.jpg,41C6EF68213547FDA6F60CC37E187F43
2020-12-29T17:51:12.000Z,Suomalaisjuontaja sinnitteli tv-studiossa kesken Kroatian maanjäristyksen – joulukuusikin heilui: ”Siis mitä täällä tapahtuu?”,"Vasta kun Tiedä ja voita -ohjelman juontaja Iida Palosaari sai korvanappiinsa tiedon maanjäristyksestä, hän säntäsi tv-studiosta ulos. ",https://img.ilcdn.fi/_zkGNfOYvTh0OUf4h_aq4QFFGTs=/510x318/top/img-s3.ilcdn.fi/d4199795012539a137ae17e4823487eca317b54b138c3613906367e108b794f7.jpg,62328CD6AC554A8ABD85676DE5C79C58
2020-12-29T18:01:56.000Z,Katso oman alueesi tilanne – Tämä on Suomen koronatilanne nyt,Leviämisvaiheessa on seitsemän sairaanhoitopiiriä.,https://img.ilcdn.fi/PEsY_Qu73RUn8LivsuSP_uOj8K0=/510x318/top/img-s3.ilcdn.fi/5e0e333e4e0d220846432e86362cdbea6d76bd844c0fef2ff22352699427c919.jpg,3F1A39930806407D8B61F0FE392AA320
2020-12-29T18:21:50.000Z,Muistatko Vintiöt? Jyrki Heliskoski valitsi muita nuoremman Tim Sparvin mukaan: ”Iso juttu”,Tim Sparv muistaa Jyrki Heliskosken inspiroivana valmentajana.,https://img.ilcdn.fi/9D8lr467RgfUKepzwYaC1CgZW9E=/510x318/top/img-s3.ilcdn.fi/16f627c7929939531b47963c6802285acf3eb6a61e73f17947e3335a7c643546.jpg,5C5BC72383BA4898AA35629656C5F6B2
2020-12-29T18:28:31.000Z,Mies ampui raskaana ollutta puolisoaan molempiin sääriin – muilutti satojen kilometrien päähän ,"Vasta käräjäoikeudessa viranomaisille selvisi, että parikymppinen nainen oli ollut tekohetkellä raskaana.",https://img.ilcdn.fi/OVVoqkrEAgVCE1pxdvm7YZSHa6o=/510x318/top/img-s3.ilcdn.fi/fe19e9d939b024d2d808d5f1ff47743c113ebe2f43d59979745d78932942e76d.jpg,00C48211AE244B689E1EFACDD357BA6A
2020-12-29T18:33:44.000Z,Jethro Rostedt sai ajokorttinsa takaisin – iloitsee mersun vieressä: ”Seuraavaksi Posankkaa katsomaan ja autolla totta kai”,Jethro Rostedt on saanut hyllytetyn ajokorttinsa takaisin. ,https://img.ilcdn.fi/TYwcl0jZvmukxCjcjlWHSvnS5Ws=/510x318/top/img-s3.ilcdn.fi/b8a99a7f4bcfc462e7ef5c997cfb4ed969a5528439a62c08074acf16859e706a.jpg,144BEED829984B55B05E48DFAB8CBA75
2020-12-29T18:33:51.000Z,Tämä sillisalaatti on jotain ihan muuta kuin luulet - todella upeat maut,Silli on suomalaisten juhlaruokaa muulloinkin kuin jouluna.,https://img.ilcdn.fi/gF4FTTvpzGlV28Bha4yBWyTpK9k=/510x318/top/img-s3.ilcdn.fi/1b019f545ef4742a437ab56af997da53cc03380c9ed89deef14e0f5643cf4e7e.jpg,55BDDCC7D57B4CDDB887F552B9C75840
2020-12-29T18:34:35.000Z,Tässä on maailman ensimmäinen kännykän näytön alle piilotettu etukamera – näin se on toteutettu,Etukamera ei näy puhelinta käyttäessä.,https://img.ilcdn.fi/Jf4zEy_N5Qtj_U9VmeTU4pPWTw8=/510x318/top/img-s3.ilcdn.fi/399c908d17c24c9332d57e395d9bf402566db236ed2526dfe94111af629fe777.jpg,0417DD6434AB425DB52767A99B2850A8
