paivamaara,otsikko,tiivistelma
2018-11-08T05:08:55.000Z,"Ylen mittaus: Keskustan kannatus vajosi, kokoomus nousussa, SDP selvästi suosituin puolue","SDP on tanakassa johdossa Ylen tuoreessa puoluekannatusmittauksessa. Kokoomus on nostanut kannatustaan, keskustan suosio on laskussa."
2018-11-08T05:11:34.000Z,Valvontakamera paljastaa järjettömän teon – mies hyppäsi yöllä krokotiilialtaaseen Yhdysvalloissa,Valvontakamera paljastaa järjettömän teon – mies hyppäsi yöllä krokotiilialtaaseen Yhdysvalloissa.
2018-11-08T05:16:55.000Z,Poliisi arvostelee median ja Brother Christmasin omaa rummutusta talousrikosjupakassa: ”Antakaa nyt tutkia!”,Itä-Uudenmaan poliisi sanoo edistyneensä hyväntekijän taloudenpitoa koskevassa esitutkinnassa. Tutkinnanjohtajan mukaan tapaus lähtee syyttäjälle parhaassa tapauksessa vielä ennen joulua.
2018-11-08T05:23:58.000Z,Paul Pogba ei tuulettanut ratkaisumaalia - Manchester United nousi sensaatiomaiseen voittoon,Manchester United kamppailee yhä H-lohkon voitosta.
2018-11-08T05:30:30.000Z,Eronneet Angelina Jolie ja Brad Pitt kohtaavat oikeudessa - Jolie vaatii lasten yksinhuoltajuutta,Huoltajuuskiista lienee kaukana kauniista. 
2018-11-08T05:37:01.000Z,"Marikan, 25, kuiva iho romahti sairaudeksi - herpes valtasi puolet kasvoista: ”Istuin vessan lattialla ja itkin, että eikö tämä ikinä lopu” ","Lapsena Marika Selinmaalla oli kuiva iho, mutta murrosiässä hänelle puhkesi atooppinen ihottuma."
2018-11-08T05:50:30.000Z,Ei mitään järkeä! Lapissa järjestetään tänä viikonloppuna päällekkäin kaksi huippuhiihtokisaa: ”Sitä on hankala ymmärtää”,"Olos isännöi perinteisiä Tykkihiihtoja, Rovaniemellä lykitään Suomen cupia. Järjestäjät syyttävät televisiointia kestämättömästä tilanteesta."
2018-11-08T06:01:34.000Z,SDP puuttuisi ammattiliittojen kohuttuun veroetuun - Timo Harakan mukaan kyseessä ei ole pr-kikka: ”Johdonmukaisuuden vuoksi otettava ohjelmaan”,Kokoomukselta tulee demareiden esitykselle varovaista tukea.
2018-11-08T06:03:37.000Z,Anna Erikssonia kohdeltiin epäasiallisesti uran alkuaikoina: ”Sitä on tapahtunut lukemattomia kertoja”,Erikssonin mukaan kyseiset tilanteet eivät nyt olisi hankalia. 18-vuotiaana tilanne oli toinen.
2018-11-08T06:05:11.000Z,"Sotalaiva ja öljytankkeri törmänneet Norjassa,  suuri pelastusoperaatio käynnissä",Ainakin seitsemän ihmistä on loukkaantunut.
2018-11-08T06:06:37.000Z,Näkökulma: Sattuipa sopivasti - SAK ja SDP tekevät nyt pesäeroa,"Haisee vahvasti siltä, että SAK:n kohuavaus on tilaustyö, joka on tehty siksi, että SDP pääsee julkisuudessa ampumaan sen ja tekemään pesäeroa SAK:hon, kirjoittaa Iltalehden Mika Koskinen."
2018-11-08T06:09:44.000Z,Jets-valmentaja huomasi Patrik Laineessa muutoksen Helsingin vierailun jälkeen - Joukkuekaveri vitsailee: ”Hänestä tuli entistä isompi jumala siellä”,Patrik Laine saattoi saada Helsingin NHL-peleistä tarvittavan piristysruiskeen kaudelleen.
2018-11-08T06:12:52.000Z,IL seurasi Tesoman tappokäräjiä: Koko istunto oli ohi hetkessä - puolustus vetosi syyntakeettomuuteen,Iltalehti seurasi oikeudenkäyntiä paikan päällä Pirkanmaan käräjäoikeudessa.
2018-11-08T06:33:11.000Z,"USA:n hävittäjälentäjät lentokieltoon, tekivät hävyttömän kuvion taivaalle",Lentoradan kuvasta tuli pian hitti internetissä.
2018-11-08T06:42:36.000Z,Sofia Belórfin ja Niko Nousiaisen pitkä prosessi vihdoin päätökseen - tuomittiin avioeroon ,Sofia Belórf heilastelee tiettävästi jo uutta Nikoa. 
2018-11-08T06:56:00.000Z,Ikimuistoisella F1-draamalla oli kuvottavat seuraukset: saksalaiskuskin piina kesti yhdeksän vuotta - ”Miten pahoja ihmiset voivat olla”,"Vuoden 2008 Brasilian GP nosti Timo Glockia vastaan viha- ja vihjailutulvan, joka laantui vasta vuosi sitten."
2018-11-08T06:57:44.000Z,Teemu ja Sirpa Selänne Me Naisissa koko perhettä kohdanneesta suuresta surusta - Liisa-äidin kuolema oli shokki: ”Elämäni raskain ja arin asia”,"Selänteen perhe on yrittänyt totutella siihen, että yksi on joukosta poissa."
2018-11-08T07:03:39.000Z,Ala-asteen katto romahti – peruskorjauksen tehneen urakoitsijan tarjous oli miljoonan kilpailijaa halvempi: ”Siinä pitäisi hälytyskellot soida”,"RKL:n toimitusjohtaja Hannu Järveläisen mielestä tilaajan hälytyskellojen olisi pitänyt soida, kun tarjousten välinen hintaero oli niin suuri."
2018-11-08T07:05:56.000Z,Luksusmerkki Moschinoa saa nyt edullisesti H&M:ltä – tämä mallisto viedään käsistä!,Tyyli.com pääsi juttuttamaan Moschinon pääsuunnittelija Jeremy Scottia 
2018-11-08T07:08:24.000Z,Sikailu vai huonoa tuuria? Supertähti Jevgeni Malkin passitettiin suihkuun yön NHL-kierroksella,Pittsburgh Penguinsin ja Washington Capitalsin väliset ottelut ovat perinteisesti kuumia vääntöjä.
2018-11-08T07:15:00.000Z,Koeajossa Mercedes C220 d T: Tuttu muoto mutta pellin alla high-techiä,"Kasvojen kohotuksessa käynyt C-sarjan Mercedes on saanut high tech -ytimen, vaikka  ulkonaisesti muoto on pysytellyt  lähes entisellään."
2018-11-08T07:21:46.000Z,Miesjoukko havaitsi jäihin tippuneen koiran Venäjällä - ryhtyi välittömästi pelastusoperaatioon,Koira putosi jäihin Venäjällä.
2018-11-08T07:24:01.000Z,Ykkössija vaihtui - Laitilan Kukko on nyt Suomen arvostetuin olutbrändi,Suomalaisten eniten arvostaman oluen titteli meni ensimmäistä kertaa pienpanimon oluelle.
2018-11-08T07:32:10.000Z,Huomasitko? Jose Mourinhon hävytön ele raivostutti fanit Mestarien liigan huippuottelussa - piti saattaa kentältä turvamiesten voimin,"Manchester United haki eilen komean 2-1-vierasvoiton Juventuksesta, mutta puheenaiheeksi nousi valmentaja Jose Mourinhon toiminta ottelun loppuhetkillä."
2018-11-08T07:38:31.000Z,Outo syndrooma piinaa lukuisia suomalaislapsia – vanhemmat taistelevat vastausten saamiseksi: mikä sairastumisen taustalla voi olla?,"IL-TV:n Sensuroimaton Päivärinta -ohjelmassa vieraillut Elina Vuorenmaa haluaa vastauksen siihen, mikä hänen lastensa oireet on aiheuttanut."
2018-11-08T07:41:53.000Z,"Tubettaja Tuure Boelius muutti kotoa alaikäisenä, isä Annassa: ""Olen korostanut sitä, että kukaan muu ei ole niin paljon sun puolellasi kuin omat vanhempasi""",Tubettaja ja Tanssii tähtien kanssa -kisaaja Tuure Boelius on saanut alusta asti tukea vanhemmiltaan.
2018-11-08T07:42:31.000Z,"Rekan jarrut pettivät valtatiellä, törmäsi useisiin autoihin  - yhdeksän kuoli Meksikossa",Onnettomuus sattui valtatiellä Mexico Cityn ulkopuolella keskiviikkona illalla pahimpaan ruuhka-aikaan.
2018-11-08T07:45:51.000Z,Vartiointialan työriidassa sopu - kaikki työtaistelutoimet peruuntuvat,Kaikki työriidan osapuolet ovat hyväksyneet valtakunnansovittelijan tiistaina antaman sovintoehdotuksen.
2018-11-08T07:57:59.000Z,"Kilot lähtivät, mutta niin lähti mieskin – naisen kokemus osoittaa, että myös laihtuminen voi olla suhdetta ravisuttava muutos",Onko tämä yleistä vai harvinainen poikkeus?
2018-11-08T08:00:36.000Z,"Vuokrat edelleen 2,4 %:n nousussa - ”Kysynnän ja tarjonnan suhde kääntynyt vuokralaisen eduksi”","Tilastokeskus: Vuokrien vuosinousu pysyi 2,4 prosentissa vuoden kolmannella neljänneksellä, kertoo Tilastokeskus."
2018-11-08T08:04:48.000Z,Stubb ennen ratkaisevaa puhettaan: ”Tämä on aika pitkälle ennalta päätetty”,Alexander Stubb pitää ratkaisevan puheensa – nouseeko hän EPP:n kärkiehdokkaaksi ja mahdollisesti seuraavaksi EU-komission puheenjohtajaksi? Iltalehti lähettää Stubbin puheen suorana klo 10.
