paivamaara,otsikko,tiivistelma,kuva,id
2019-11-18T11:03:27.000Z,"Tommi Mäkinen suhtautuu epäillen Hyundain mestaruuskikkaan – ""En voinut aikoinaan edes kuvitella""",Tommi Mäkisen johtama Toyota taipui Hyundaille rallin MM-sarjan valmistajien mestaruuskamppailussa kaudella 2019.,https://img.ilcdn.fi/jR44o5NFQ7A-BYH2mmnDJXv0-a0=/510x318/top/img-s3.ilcdn.fi/d6a9cbd49661d9bff0faf49bade88b11484d4519a5631b5a49f7b91e7fc95a4c.jpeg,2963828D031649E581C396560FF66324
2019-11-18T11:16:42.000Z,Silta romahti Ranskassa - ainakin yksi kuollut ja useita ihmisiä kateissa,Ainakin kolme ajoneuvoa syöksyi jokeen riippusillan romahdettua Ranskan Lounais-Ranskassa maanantaina.,https://img.ilcdn.fi/iSVtNcxNx_o5lKsBg2L3Tmvc7qk=/510x318/top/img-s3.ilcdn.fi/5facf8012f15e59b45ec8ae0c894ae0b73560a26bc651fb536299301ac32001b.jpg,5FFFB01AE7BB4355A7C2965188B6FB46
2019-11-18T11:24:39.000Z,Polamkin opettajaa syytetään seksuaalisesta hyväksikäytöstä ja ahdistelusta,Poliisiammattikorkeakoulun opettajana toiminutta ylikonstaapelia vastaan on nostettu syytteet.,https://img.ilcdn.fi/xE3bgWBUW_j752fx1SzSWEzviTY=/510x318/top/img-s3.ilcdn.fi/9a2706950441a3fa799a9bfee0d77c3cbc7e12c41fedbabe98aa0a8ad220cf69.jpeg,AA3E8BBD06544C3F90BD16FD547C6D1C
2019-11-18T11:26:47.000Z,SM-liigan valmentajaruletti pyörii: Pekka Virta jatkaa Lukossa vielä vuoden – seuraajan nimi jo julki,Marko Virtanen on Lukon seuraava päävalmentaja.,https://img.ilcdn.fi/GWSHb3uM6ID2nAf9gykQcbh_3lk=/510x318/top/img-s3.ilcdn.fi/3044f319c50488c3c0c54d2fbc19db46b8b773828d0ea54c48204d81cf0fa096.jpg,CBB9B2996CA14B958EB71E1637C81FC1
2019-11-18T11:45:37.000Z,"Pienet naiset kertovat: ""Tarjolla niin paljon miehiä, etten tiedä, mitä olisin tehnyt""","”Oletpa suloinen, kun suutut, Sagalle, 30, sanotaan.",https://img.ilcdn.fi/GlqiZQ2zWScmcTKu_x-xG2S-V4E=/510x318/top/img-s3.ilcdn.fi/6a94690d84875cb75a0c67a7869547d0c01871886916ec7cf365853910269353.jpg,F4FCE8A69EC8452FAEEB3FB2A902516E
2019-11-18T11:49:45.000Z,Kilpailuvirasto vaatii HUS:lle isoja sakkoja – miljoonien hankinnat jätetty kilpailuttamatta,"Kilpailu- ja kuluttajaviraston (KKV) mukaan Helsingin ja Uudenmaan sairaanhoitopiiri ei ole kilpailuttanut useiden miljoonien eurojen arvoisia haavanhoitotuotteisiin, pehmopapereihin, jätesäkkeihin ja DNA-analyyseihin liittyviä hankintojaan.",https://img.ilcdn.fi/MsxcQkjwbWc1KwpHOUAT5JF6iZE=/510x318/top/img-s3.ilcdn.fi/5d0b6c2aff962b4d6032a5652e26fe68399dcf1eda9f61a782439ae1ffdea673.jpg,56C4E51894A145A6B12798866F8453EC
2019-11-18T11:58:12.000Z,Mitkä lihakset! Suomen hiihtolupaus Anita Korva paljasti todella ruudikkaan yläkroppansa,Anita Korva vastaili seuraajiensa kysymyksiin Instagramissa.,https://img.ilcdn.fi/GesWVI9ZtEzD8IDwnay3IObs5m4=/510x318/top/img-s3.ilcdn.fi/40b361c40412e5a2a5f49bbe21551c10132285862838b9afba1eeff47b7cd1d1.jpg,0B72E0B2CC344D20A1A9E18855976BC1
2019-11-18T12:05:07.000Z,Kristillinen sivusto melkein höynäytti Anitaa - ovela julkkiksilla ratsastava nettihuijaus rantautui Suomeen,Kristillinen somekanava toimi amorina suomalaisen Anitan ja tunnetun jenkkifutaaja Michael Strahanin välillä. Tosin Michael tuskin oli kuka väitti olevansa ja vaati naiselta suuria summia tapaamisesta.,https://img.ilcdn.fi/OZR2hR9DqM82dl4VBVLD8eu4r3U=/510x318/top/img-s3.ilcdn.fi/a0f8b30e1698c126987a431ecdd60f6250f51fe098bd0309eec1daf9d8966d6b.jpg,62751E4F9187420487366C0951222E7B
2019-11-18T12:15:08.000Z,Sekavasti pahvinpalojen kanssa hääräillyt kuski joutui outoon jumitilanteeseen,Huumekuski tolskasi Vantaalla pahvien ja narujen kanssa maanantaiyönä.,https://img.ilcdn.fi/UuKIYCIQZY0FKYj1Uz7IVQrV9xs=/510x318/top/img-s3.ilcdn.fi/fc1b21aab8e0e5d7e48ed19a130418b334ec9956cf50aa87928802cc97a7ae78.jpg,F41AB04A8AB54A5C9BD25C3A83C8711B
2019-11-18T12:15:35.000Z,"Sormiruokailusta tullut lukuisia ”läheltä piti” -tilanteita: ”Vaikuttaa siltä, että kaikissa perheissä tekniikka ei ole aivan hallussa”","Liian suuret ja kovat ruokapalat ovat aiheuttaneet tilanteita, joissa vauva on ollut tukehtumisvaarassa.",https://img.ilcdn.fi/YGgSeAos-PcG7NNzGkohyOCBs24=/510x318/top/img-s3.ilcdn.fi/48e7bfc88eb16773f12cb765d53fb39df0f122f34db4c059a464a5ff53e2d58b.jpg,1147F3390D3D4E53AD682BC16D5267A8
2019-11-18T12:34:40.000Z,Suosikkisarja Syke jatkuu uusin jaksoin – mukaan kaksi uutta hahmoa,Sykkeen seitsemäs kausi keskittyy sairaalan työyhteisön venymiseen johtoportaan kiristäessä nyörejä. ,https://img.ilcdn.fi/EwIaPGnk76lOqXd0njjRq52yHUs=/510x318/top/img-s3.ilcdn.fi/f01712c9250a7da3c3ee54ed927305ec8dcf7a0271b566447cb1c2b066f8ca53.jpg,2A5E489A1B80440DB356C94BA281CBDF
2019-11-18T12:39:22.000Z,Tv-komistus Sami Kuronen kertoo naisten roiseista pyynnöistä: ”Mitä vähemmän vaatetta sen parempi”,Sensuroimaton Päivärinta -ohjelmassa vieraillut Sami Kuronen saa erikoisia yhteydenottoja naisilta.,https://img.ilcdn.fi/fXO22HsPDeT-xzi8cl_Ycqz7KjY=/510x318/top/img-s3.ilcdn.fi/81a4e460d7840eebcadd23a213b8de1b54606b1fd65d7b07bb924cbd2ddc5117.jpg,43BDB86407C74863A9EFB5246C81DABB
2019-11-18T12:42:24.000Z,Ferrarilla on ikävä Maurizio Arrivabeneä – nykyisen pomon johtajuus koetuksella: ”Emme ole nähneet samaa”,Ferrarilla pitäisi nyt lyödä nyrkkiä pöytään ärräpäiden kera.,https://img.ilcdn.fi/Nj88vR7i2ENrk8hAG_k4v2kaWJM=/510x318/top/img-s3.ilcdn.fi/ab650662f5df73603c6b13b83f3f5619564520c2bbb55e95774ac61392140b5d.jpg,1619AE7BF46D4BDDAF770CDA574242F7
2019-11-18T13:06:59.000Z,Poliisi huolissaan vaarallisesta villityksestä Espoossa: ”Nuoret kantavat mukanaan teräaseita - nuorin vasta 8-vuotias”,"Länsi-Uudenmaan poliisi kertoo, että espoolaisilta lapsilta ja nuorilta on syksyn aikana löydetty lukuisia teräaseita niin koulussa kuin vapaa-aikanakin.",https://img.ilcdn.fi/P0c_b_lvXVLHsH6eSVmv_5cAioM=/510x318/top/img-s3.ilcdn.fi/7633d37704a84c999cd652407cc7d208cab2527022cd0944f26571ac9238381c.jpg,162CD3A76A2C4660A6207D150246B498
2019-11-18T13:18:35.000Z,Kiinan sotilaat jalkautuivat Hongkongin kaduille - oliko mielenosoittajien jälkien siivoaminen varoitus? ,Kiinan Hongkongissa olevat joukot jalkautuivat viikonloppuna siivoamaan katuja mielenosoittajien jäljiltä.,https://img.ilcdn.fi/MQFvLQHkU_aYt2PkvBpYyNODDn4=/510x318/top/img-s3.ilcdn.fi/6d4050abc1cb6568e3c96fd64bb01e9af97acdadf78328c7f023b5a0f02fc17a.jpg,BF466E9951D34626842791E432EC56C8
2019-11-18T13:21:07.000Z,Oppositiopoliitikko joutui pedofiliaepäilyjen kohteeksi Venäjällä - kommentoi IL:lle: ”Puhdasverinen parjauskampanja”,Syytökset ovat peräisin nimettömästä ilmiannosta.,https://img.ilcdn.fi/L9jMHXVJfBM09mj6VQD6YqjFsGk=/510x318/top/img-s3.ilcdn.fi/9de31137a4dbf0a0b511ec91f364e74dd592b5664c59418eec0e44f1f229a4cb.jpg,D17EFE8A70C348A8B65F7CFCA853606A
2019-11-18T13:23:58.000Z,MTV: Love Island -pari Nikita ja Tommy edelleen yhdessä – Tommy lähtee rakkaansa perheen kanssa reissuun,"Tommy kertoo MTV:n haastattelussa, miten sekä Nikitan hevonen että perhe ovat ottaneet hänet hienosti vastaan.",https://img.ilcdn.fi/bnBBDgH7lihJYojV9BhoELIqV-8=/510x318/top/img-s3.ilcdn.fi/0679e83de534067ad448f2042af6f2834d9eb0d640eba4e66ced47f5441b3d87.jpg,A76709159B2E4DBC90FE1ED606AEF45B
