paivamaara,otsikko,tiivistelma,kuva,id
2020-06-04T18:28:11.000Z,”George Floyd yhdistää amerikkalaiset” - katso suoraa lähetystä muistotilaisuudesta Minneapolisista,"Muistotilaisuus järjestetään kaupungissa, jossa tummaihoinen George Floyd kuoli poliisin pidättäessä häntä.",https://img.ilcdn.fi/ETc1Fsew_cqal15lIUYY0gnsKDI=/510x318/top/img-s3.ilcdn.fi/8312dd2ffb4709e33a6f76825d5c16a64df36878fae09708f7b182faa98bcee4.jpg,87A100BDC71047E5B68F02790494CFD6
2020-06-04T18:31:05.000Z,Käsittämätön hintalappu! Chelsean venäläinen ökyomistaja osti Israelin kalleimman asunnon ,Kiinteistön arvo oli noussut 14 vuodessa peräti 50 miljoonaa euroa.,https://img.ilcdn.fi/MAk8z5_Cq2PL-2pAh2cW47_hOE8=/0x0:2048x1280/510x318/top/img-s3.ilcdn.fi/05ec34e57287dafe4ff4528d10b7ec6bc8476f9c1a863098954d9122170ec277.jpg,025DAA099A034E85A431894720E8F9BB
2020-06-04T18:53:03.000Z,"Nuori mies ei kestänyt eroa kihlatustaan – naapuri soitti poliisin, kun huomasi hyytävän näyn rappukäytävässä",Mies surmasi ex-kihlattunsa Hämeenlinnassa tammikuussa ja otti itsensä hengiltä.,https://img.ilcdn.fi/cfQKkx7IUKFClvZJmubpkX2w58g=/510x318/top/img-s3.ilcdn.fi/4b02d3b834a8ea380d73eb94f65464754bdd391dd1ea93fbef8a419c3a298a1a.jpeg,F9025EF216554CC3AED7B163AB688D35
2020-06-04T18:57:05.000Z,"Temppareissa kaikkien aikojen dramaattisin iltanuotio – Valto suomii katuvaa Miraa: ”Kaikki näki, joka ikinen!”",VARO JUONIPALJASTUKSIA! Miran ja Valton iltanuotiosta tuli TIS-historian kaikkien aikojen dramaattisin.,https://img.ilcdn.fi/qTrFR1KBUFtcSv9Vf-TIsQ7WMyM=/510x318/top/img-s3.ilcdn.fi/277cd743ca1c62b81f30fc88728767751761e3b7da82883dadf6dc0fd1f14030.jpg,ACD86033F7D74215A273307C2F74F3F6
2020-06-04T19:00:00.000Z,TIS todisti: tällaista suhdetta pettämisen peikko vaanii,"Markuksella ei ollut sixpackia, mutta hän kysyi oikeita kysymyksiä ja ajoi ohituskaistaa Miran sydämeen kolmessa viikossa, kirjoittaa Iltalehden Emmi Oksanen.",https://img.ilcdn.fi/pngX4irNErXUNaiFP9BvYEhFLbU=/510x318/top/img-s3.ilcdn.fi/dc9d9a9146e25da5d647bab46a790dba0afb7b1bee171e6f5c66546ae1d5874f.jpg,49DBA877E05C41B1AB2026E77241A2DE
2020-06-04T19:00:38.000Z,Valioliiga nosti pelaajavaihtojen määrää loppukaudeksi,Pelitauon aiheuttaman loukkaantumisriskin vuoksi Valioliigassa nostetaan vaihtojen määrää.,https://img.ilcdn.fi/-RAuhrHT_4WKvxBljEPp6liIqBo=/510x318/top/img-s3.ilcdn.fi/40c3335fce245014214f1f158a960cc361d3028abfd02d0914c65b7246c0bc92.jpg,61992585FD9E4950ADDF8EA81405FA69
2020-06-04T19:23:22.000Z,Poliisi kerää kiitosta toiminnastaan Helsingin mielenosoituksessa – ”Tuntuivat olevan kansalaisten puolella”,Helsingissä osoitettiin mieltä rasismia vastaan keskiviikkona koronarajoituksista huolimatta.,https://img.ilcdn.fi/KAIiHrsgZBBj-E-XuMJAgMrd6WM=/510x318/top/img-s3.ilcdn.fi/fdcea4c092a309303c22d21a475c1a9e3d9edba06d9ac379a067b0f23533fc4d.jpg,21EF210C6BCC462998927F8D4E407C14
2020-06-04T19:24:02.000Z,Lähteet: NBA-kausi jatkuu Disney Worldissa – Lauri Markkanen ei mukana,Mukaan pääsee 22 joukkuetta.,https://img.ilcdn.fi/I-biKTPyDUZ1r2K7VZ1kOloFLkY=/510x318/top/img-s3.ilcdn.fi/b9e96e78d3ee538b82a9aec9ec80789b215c2f7240e74de6ccfb751b42835ec2.jpg,91C49F164326484182FF4848A21CEA83
2020-06-04T19:31:12.000Z,Temptation Island Suomessa suhdettaan koetelleet Mattu ja Jape ovat yhä yhdessä – kämppäkaverikin televisiosta tuttu,Mattu ja Jape jakavat kodin Wallun kanssa.,https://img.ilcdn.fi/uIwFWJyZyLMqSEHxJyZQfALwBbs=/510x318/top/img-s3.ilcdn.fi/748cc3221cf26d5109f791710bbd4df054b8e8ab314cee13c8608e2014d2f379.jpg,0659D6160F684A5A876BF3161745FB7B
2020-06-04T19:43:40.000Z,Suomen koronatilanne nyt: Katso torstain tiedot,"THL raportoi yhden uuden koronakuoleman, eikä yhtään uutta tartuntaa.",https://img.ilcdn.fi/2FTbVO7Is8VNZoaBwurX-1IRIP0=/510x318/top/img-s3.ilcdn.fi/ebc55b39aa31d83b42b593084f521f4737ba26e26076c003202f2566b655f525.jpg,0DCC578954D4428B9DD43077B410B5CD
2020-06-04T19:45:40.000Z,Lopullinen niitti parisuhteelle - TIS-Mira vaihtoi Valton Markukseen,Temptation Island Suomen seitsemäs tuotantokausi päättyi yllättävästi.,https://img.ilcdn.fi/Tu6BDKmIhjQQMB67Ow3yRv2GaKE=/510x318/top/img-s3.ilcdn.fi/e12ce626249c55386eb9637707a949e0d4ed29ebd43934fef9099289a0ff03c9.jpg,70FF657F212346828E72667D734B320F
2020-06-04T19:49:08.000Z,Katso hurja video: Norjalainen kylä huuhtoutui mereen maanvyöryssä,Paikallinen asukas sai taltioitua videolle rankkasateen aiheuttaman maanvyöryn.,https://img.ilcdn.fi/y0KfJQGv3SaxZAfSAdARaWCBfaQ=/510x318/top/img-s3.ilcdn.fi/b69030b6f15f4dae1da847fc2c4658b94fa71228581a4a96563e831c876be357.jpg,9115C9644FD24A6E906147506CFB6448
