paivamaara,otsikko,tiivistelma
2019-04-02T14:37:50.000Z,"Naisleijonien luotsi Pasi Mustonen lataa kovaa tekstiä - ehdottaa miehille uusia sääntöjä Pitsiturnaukseen: ”Sitten huomattaisiin, että jukolauta!”","Pasi Mustonen ei epäröi sanoa ääneen, mitä hän ajattelee."
2019-04-02T14:48:44.000Z,Tiina petti miestään ja tuli raskaaksi: Pekka kasvatti poikaa 12 vuotta omanaan – nyt Tiina kertoo miten kaikki tapahtui ja paljastui,"Tiina eli 12 vuotta karmeaa kaksoiselämää. Hän tiesi koko ajan, että poika ei ole hänen miehensä, vaan nuoruuden yhden illan hairahduksen."
2019-04-02T15:00:00.000Z,Illinoisin osavaltio kielsi Sonyn Aibo-robottikoiran myynnin – haluaa estää kansalaisten vakoilun,Osavaltion biometristen tietojen tietosuojalaki estää robottikoiran myymisen.
2019-04-02T15:00:01.000Z,"Euroviisujen esiintymisjärjestys paljastettiin - Darude vältti kaikista pahimman, Ruotsi laitettiin mainiolle paikalle",Darude esiintyy Tel Avivin Euroviisujen ensimmäisessä semifinaalissa kolmantena.
2019-04-02T15:07:13.000Z,"”Meidät on lähes pakotettu sairastumaan astmaan” - Norjalaishiihtäjä lataa kovaa tekstiä FIS-pomoille, vähättelee keskustelua herättänyttä lääkeasiaa","Norjalaiset hiihtäjät ovat huolissaan siitä, miten maastohiihdon maailmancup-kalenteri paisuu."
2019-04-02T15:07:20.000Z,"Kuin Linkedin, mutta ilman miehiä – ruotsalaiset Aleksandra ja Sofia loivat vain naisille suunnatun urasovelluksen, koska meidän pitäisi tukea toisiamme",Lukuisissa kaupungeissa ympäri maailman toimiva Her Global Network -verkosto haluaa auttaa naisia verkostoitumaan.
2019-04-02T15:11:35.000Z,Kalifornialaismiehen uhkarohkea teko: nappasi tiukasti ryöstäjän haulikosta kiinni kesken aseellisen ryöstön,Vaarallinen tilanne tallentui valvontakameran kuviin.
2019-04-02T15:34:16.000Z,Bachelor-Christoffer antaa tänään ensimmäisen suudelman: ”Ylitti kaikki odotukset”,"Bachelor Suomi -ohjelmassa tunnelma tihenee, kun Christoffer ryhtyy suutelemaan. Mutta kuka on ensimmäinen suudeltava? "
2019-04-02T15:36:20.000Z,"Kysy itseltäsi 4 kysymystä, niin onnistut paremmin työnhaussa","Uravalmentaja Pilvi Nybom muistuttaa, että omaa työnhakuaan voi parantaa koko ajan."
2019-04-02T15:47:19.000Z,Iltalehti Amsterdamissa: Ford paljasti -  isoa Explorer SUVia aletaan tuodaan Eurooppaan,Ford aloittaa isoimpiin ja järeimpiin SUV-malleihin kuuluvan Explorerin tuonnin Eurooppaan ja  sen nähtäneen myös Suomessa. Ford julkisti tiedon Go&Future -tapahtumassaan Amsterdamissa.
